id,folder,strain_type,strain_magnitude,shear_g1,shear_g2,shear_g3,triaxial_ex,triaxial_ey,triaxial_ez,shear_planes,n_shear_planes,volume_A3,n_atoms,a_lat_x_A,a_lat_y_A,a_lat_z_A,alpha_deg,beta_deg,gamma_deg,bond_nn_A,E_total_cell_eV,E_per_atom_eV,strain_energy_density_eV_A3,E_xx,E_yy,E_zz,E_xy,E_yz,E_zx,F_xx,F_xy,F_xz,F_yx,F_yy,F_yz,F_zx,F_zy,F_zz,J_detF,volumetric_strain,deviatoric_strain_J2,E_principal_1,E_principal_2,E_principal_3,sigma_xx_GPa,sigma_yy_GPa,sigma_zz_GPa,sigma_xy_GPa,sigma_yz_GPa,sigma_zx_GPa,hydrostatic_stress_GPa,von_mises_stress_GPa,sigma_principal_1_GPa,sigma_principal_2_GPa,sigma_principal_3_GPa,scf_converged,ionic_converged,n_ionic_steps,n_elec_last,Eg_eV,VBM_eV,CBM_eV,E_fermi_eV,is_direct_bandgap,vbm_kpt_index,cbm_kpt_index,vbm_kx,vbm_ky,vbm_kz,cbm_kx,cbm_ky,cbm_kz,extract_status,functional
1394,shear_3D_g1_-0.09_g2_-0.03_g3_-0.03/1-GGA-PBE,shear,0.09949874371066199,-0.09,-0.03,-0.03,0.0,0.0,0.0,xy+xz+yz,3,11.346172820578163,2,2.4939045812446645,2.4852803224548436,2.411421380509455,63.09075328623847,62.915900996817655,63.98962784332482,1.482316159767312,-17.98247199,-8.991235995,0.017667416729410385,-0.001948545677023461,0.0020856711029926256,-0.0010520530592419974,-0.04482463088906787,-0.013596804703017244,-0.014941543629689311,0.9980495521996656,-0.0898244596979699,-0.02994148656598997,2.8688295291149075e-17,0.9980495521996656,-0.029941486565989966,-2.6822855940108752e-17,2.6822855940108752e-17,0.9980495521996657,0.9941600619188781,-0.0009149276332728329,0.0024218576780044407,-0.0526991760642729,0.0068397354383422605,0.04494451299265776,-3.731911,-9.126044,-3.8601730000000005,-50.693522,-18.291889,-18.196357,-5.572709333333333,98.66621818914642,-67.62817678216015,6.564636437675833,44.345412344484245,True,True,5.0,3.0,4.240175000000001,9.186872,13.427047,9.328,False,0,21,0.0,0.0,0.0,0.4285714,0.4285714,3.37901e-18,ok,GGA-PBE+HSE06
1396,shear_3D_g1_-0.09_g2_-0.03_g3_-0.06/1-GGA-PBE,shear,0.11224972160321824,-0.09,-0.03,-0.06,0.0,0.0,0.0,xy+xz+yz,3,11.346172820578165,2,2.4570909759942756,2.4870075667387157,2.411421380509455,64.12860801434933,63.51177290304122,64.49533679368133,1.4713302574871108,-17.92586562,-8.96293281,0.022627308773648738,-0.001948545677023461,0.0020856711029927366,0.00029268586743003144,-0.0448246308890679,-0.02853834833270656,-0.014941543629689311,0.9980495521996656,-0.0898244596979699,-0.02994148656598997,-2.6822855940108752e-17,0.9980495521996657,-0.05988297313197996,-2.6822855940108752e-17,2.6822855940108752e-17,0.9980495521996657,0.9941600619188782,0.000429811293399307,0.0030510200559244784,-0.06040704734748743,0.013061461883545525,0.0477753967573412,-3.676049,-9.512625,-6.066568,-50.374543,-34.986782,-19.639679,-6.418413999999999,111.66014158983695,-78.2662139277086,12.640849172179477,46.3701227555292,True,True,8.0,2.0,4.264543,9.161389,13.425932,9.2997,False,0,21,0.0,0.0,0.0,0.4285714,0.4285714,7.834197e-18,ok,GGA-PBE+HSE06
1398,shear_3D_g1_-0.09_g2_-0.03_g3_-0.09/1-GGA-PBE,shear,0.1307669683062202,-0.09,-0.03,-0.09,0.0,0.0,0.0,xy+xz+yz,3,11.346172820578163,2,2.420900171181812,2.489883644551739,2.411421380509455,65.16824081996869,64.12970890748903,64.97205517542307,1.4604748269731251,-17.83382169,-8.916910845,0.030692266058975827,-0.001948545677023461,0.0020856711029927366,0.0025339174118834684,-0.0448246308890679,-0.043479891962395836,-0.01494154362968931,0.9980495521996656,-0.0898244596979699,-0.02994148656598997,-2.6822855940108752e-17,0.9980495521996657,-0.0898244596979699,-2.6822855940108752e-17,2.6822855940108752e-17,0.9980495521996657,0.9941600619188782,0.002671042837852744,0.0041290929829615386,-0.06934369828319796,0.015283541744645402,0.0567311993764053,-3.7216769999999997,-10.285641,-9.811835,-49.851503,-51.649561000000006,-20.936173,-7.939717666666667,129.667723810534,-91.38515416320327,14.23262431936149,53.333376843841805,True,True,6.0,2.0,4.2388580000000005,9.153333,13.392191,9.2228,False,0,144,0.0,0.0,0.0,-3.554362e-17,0.4285714,0.4285714,ok,GGA-PBE+HSE06
1400,shear_3D_g1_-0.09_g2_-0.03_g3_0.03/1-GGA-PBE,shear,0.09949874371066199,-0.09,-0.03,0.03,0.0,0.0,0.0,xy+xz+yz,3,11.346172820578163,2,2.569292658321182,2.4852803224548436,2.411421380509455,61.02524576388651,61.787516693325095,62.8993368555025,1.502501835913259,-17.98916539,-8.994582695,0.017080936066387782,-0.001948545677023461,0.0020856711029927366,-0.0010520530592419974,-0.0448246308890679,0.01628628255636135,-0.014941543629689311,0.9980495521996656,-0.0898244596979699,-0.02994148656598997,-2.6822855940108752e-17,0.9980495521996657,0.029941486565989966,-2.6822855940108752e-17,2.6822855940108752e-17,0.9980495521996657,0.9941600619188782,-0.0009149276332727219,0.002502227579378091,-0.04480681405715335,-0.009943198801748957,0.05383508522562962,-4.142475,-9.583461,-4.120223,-50.602843,15.147252,-15.043831,-5.948719666666666,95.28345784340698,-57.547424387037594,-12.235075956653644,51.936341343691225,True,True,10.0,2.0,4.292207999999999,9.180782,13.47299,9.2935,False,0,21,0.0,0.0,0.0,0.4285714,0.4285714,2.367486e-17,ok,GGA-PBE+HSE06
1402,shear_3D_g1_-0.09_g2_-0.03_g3_0.06/1-GGA-PBE,shear,0.11224972160321824,-0.09,-0.03,0.06,0.0,0.0,0.0,xy+xz+yz,3,11.346172820578163,2,2.6078162266180684,2.4870075667387157,2.411421380509455,60.0000339196834,61.253588792346875,62.31880034229632,1.4899750891773438,-17.93917683,-8.969588415,0.02146097069936149,-0.001948545677023461,0.0020856711029926256,0.00029268586743003144,-0.04482463088906787,0.031227826186050626,-0.014941543629689311,0.9980495521996656,-0.0898244596979699,-0.02994148656598997,2.8688295291149075e-17,0.9980495521996656,0.059882973131979905,-2.6822855940108752e-17,2.6822855940108752e-17,0.9980495521996657,0.9941600619188781,0.000429811293399196,0.0032117598586717693,-0.04797440425903876,-0.014207225666056098,0.06261144121849405,-4.496446000000001,-10.431911,-6.589358,-50.205547,31.854654,-13.337620000000001,-7.172571666666666,105.67313629471714,-62.041178375060284,-18.00506301140351,58.52852638646381,True,True,7.0,2.0,4.365359,9.152421,13.51778,9.2878,False,0,21,0.0,0.0,0.0,0.4285714,0.4285714,3.37901e-18,ok,GGA-PBE+HSE06
1404,shear_3D_g1_-0.09_g2_-0.03_g3_0.09/1-GGA-PBE,shear,0.1307669683062202,-0.09,-0.03,0.09,0.0,0.0,0.0,xy+xz+yz,3,11.346172820578163,2,2.6468607349231896,2.489883644551739,2.411421380509455,58.981468793527476,60.738901552705364,61.71734366608851,1.4776738081812804,-17.85372201,-8.926861005,0.028948585288670555,-0.001948545677023461,0.0020856711029926256,0.0025339174118834684,-0.04482463088906787,0.04616936981573991,-0.01494154362968931,0.9980495521996656,-0.0898244596979699,-0.02994148656598997,2.8688295291149075e-17,0.9980495521996656,0.08982445969796984,-2.6822855940108752e-17,2.6822855940108752e-17,0.9980495521996657,0.9941600619188781,0.002671042837852633,0.004370202687082477,-0.056032860653441714,-0.01469363779072537,0.07339754128201975,-4.955493,-11.671364,-10.617936,-49.523767,48.537058,-11.54875,-9.081597666666667,121.92049589166088,-73.75663054510625,-19.378858086083497,65.89069563118974,True,True,8.0,2.0,4.185655000000001,9.153126,13.338781,9.2151,True,0,0,0.0,0.0,0.0,0.0,0.0,0.0,ok,GGA-PBE+HSE06
1406,shear_3D_g1_-0.09_g2_-0.06_g3_-0.03/1-GGA-PBE,shear,0.11224972160321824,-0.09,-0.06,-0.03,0.0,0.0,0.0,xy+xz+yz,3,11.346172820578163,2,2.4990648506703965,2.4483370448409727,2.411421380509455,63.5959000624254,63.89944380878718,64.44083654377127,1.4721660717200138,-17.92615267,-8.963076335,0.022602157240149905,-0.001948545677023461,0.0020856711029926256,0.00029268586743003144,-0.04482463088906787,-0.01225206577634521,-0.029883087259378594,0.9980495521996656,-0.0898244596979699,-0.05988297313197991,2.8688295291149075e-17,0.9980495521996656,-0.029941486565989966,-2.6822855940108752e-17,2.6822855940108752e-17,0.9980495521996657,0.9941600619188781,0.000429811293399196,0.003056445024267196,-0.060104707880663986,0.011989380709187989,0.04854513846487518,-4.219647,-9.064964999999999,-6.121942,-50.412865,-19.748791,-34.816554000000004,-6.468851333333333,111.5745088104707,-77.88938697354551,11.242694622480403,47.240138351065106,True,True,12.0,2.0,4.2433119999999995,9.189304,13.432616,9.3136,False,0,21,0.0,0.0,0.0,0.4285714,0.4285714,-1.246165e-17,ok,GGA-PBE+HSE06
1408,shear_3D_g1_-0.09_g2_-0.06_g3_-0.06/1-GGA-PBE,shear,0.12369316876852982,-0.09,-0.06,-0.06,0.0,0.0,0.0,xy+xz+yz,3,11.346172820578165,2,2.4623283964198657,2.4500903332275326,2.411421380509455,64.64474370087338,64.50448521996732,64.96496199215042,1.4618714727773683,-17.86657143,-8.933285715,0.027822709596039386,-0.001948545677023461,0.0020856711029927366,0.0016374247941021158,-0.0448246308890679,-0.027193609406034523,-0.029883087259378594,0.9980495521996656,-0.0898244596979699,-0.05988297313197991,-2.6822855940108752e-17,0.9980495521996657,-0.05988297313197996,-2.6822855940108752e-17,2.6822855940108752e-17,0.9980495521996657,0.9941600619188782,0.0017745502200713914,0.003646628000021015,-0.0681743780002172,0.02497112514499938,0.04497780307528921,-3.9791350000000003,-9.245153,-8.201276,-50.132751999999996,-36.302888,-36.15464,-7.141854666666667,124.25125766360118,-89.20591914731484,24.130976734660845,43.64937841265411,True,True,8.0,2.0,4.255753,9.152412,13.408165,9.3284,False,0,21,0.0,0.0,0.0,0.4285714,0.4285714,5.606603e-18,ok,GGA-PBE+HSE06
1410,shear_3D_g1_-0.09_g2_-0.06_g3_-0.09/1-GGA-PBE,shear,0.1407124727947029,-0.09,-0.06,-0.09,0.0,0.0,0.0,xy+xz+yz,3,11.346172820578163,2,2.4262157171882412,2.453009695734125,2.411421380509455,65.69539142521279,65.13151383280595,65.45982808450466,1.4516553275421777,-17.77194767,-8.885973835,0.03611371349577572,-0.001948545677023461,0.0020856711029927366,0.003878656338555442,-0.0448246308890679,-0.04213515303572381,-0.029883087259378594,0.9980495521996656,-0.0898244596979699,-0.05988297313197991,-2.6822855940108752e-17,0.9980495521996657,-0.0898244596979699,-2.6822855940108752e-17,2.6822855940108752e-17,0.9980495521996657,0.9941600619188782,0.004015781764524717,0.004686525223905593,-0.07694150111732748,0.030955235304531096,0.05000204757732112,-3.8469050000000005,-9.822544,-11.815732,-49.684347,-52.786542,-37.255237,-8.495060333333333,141.35172352323767,-102.1799275100676,29.54609526706358,47.148651243003954,True,True,9.0,2.0,4.2485230000000005,9.112672,13.361195,9.2257,False,0,144,0.0,0.0,0.0,-4.556268e-17,0.4285714,0.4285714,ok,GGA-PBE+HSE06
1412,shear_3D_g1_-0.09_g2_-0.06_g3_0.03/1-GGA-PBE,shear,0.11224972160321824,-0.09,-0.06,0.03,0.0,0.0,0.0,xy+xz+yz,3,11.346172820578163,2,2.5743018143967213,2.4483370448409727,2.411421380509455,61.508696549014495,62.752558090503925,63.313132589267,1.492824062500653,-17.93955895,-8.969779475,0.021427489062084054,-0.001948545677023461,0.0020856711029927366,0.00029268586743003144,-0.0448246308890679,0.017631021483033384,-0.029883087259378594,0.9980495521996656,-0.0898244596979699,-0.05988297313197991,-2.6822855940108752e-17,0.9980495521996657,0.029941486565989966,-2.6822855940108752e-17,2.6822855940108752e-17,0.9980495521996657,0.9941600619188782,0.000429811293399307,0.003217184827014494,-0.047299182601692864,-0.015239148211001132,0.0629681421060933,-5.048266,-9.982812,-6.64455,-50.244423,13.436197000000002,-31.604798,-7.225209333333333,105.502184797981,-61.09049551332994,-19.460604330650654,58.875471843980655,True,True,7.0,2.0,4.349268,9.174987,13.524255,9.2898,False,0,21,0.0,0.0,0.0,0.4285714,0.4285714,5.606603e-18,ok,GGA-PBE+HSE06
1414,shear_3D_g1_-0.09_g2_-0.06_g3_0.09/1-GGA-PBE,shear,0.1407124727947029,-0.09,-0.06,0.09,0.0,0.0,0.0,xy+xz+yz,3,11.346172820578163,2,2.6517233674690224,2.453009695734125,2.411421380509455,59.44393691203351,61.68532753394545,62.09333623768231,1.4859257404574786,-17.81191434,-8.90595717,0.03261180428365514,-0.001948545677023461,0.0020856711029926256,0.003878656338555442,-0.04482463088906787,0.047514108742411944,-0.029883087259378594,0.9980495521996656,-0.0898244596979699,-0.05988297313197991,2.8688295291149075e-17,0.9980495521996656,0.08982445969796984,-2.6822855940108752e-17,2.6822855940108752e-17,0.9980495521996657,0.9941600619188781,0.004015781764524606,0.005168744632147473,-0.05039695895683492,-0.029019238203626552,0.08343197892498604,-6.325594000000001,-12.583566999999999,-13.437247,-49.041537,46.569745,-27.720014,-10.782136,126.77488447064165,-66.6952384844354,-37.71259753954406,72.06142802397946,True,True,10.0,2.0,3.7142470000000003,9.099506,12.813753,9.2119,True,0,0,0.0,0.0,0.0,0.0,0.0,0.0,ok,GGA-PBE+HSE06
